tabla,nombre,base,escuderia_id,nacionalidad,fechaNac,localizacion,longitud,fecha,circuito_id,ganador_id,posicion
escuderias,McLaren,Reino Unido
escuderias,Aston Martin,Reino Unido
escuderias,Alpine,Francia
pilotos,Lando Norris,4,Británico,1999-11-13
pilotos,Fernando Alonso,5,Español,1981-07-29
pilotos,Esteban Ocon,6,Francés,1996-09-17
circuitos,Yas Marina Circuit,Abu Dabi,5.554
circuitos,Marina Bay Circuit,Singapur,5.063
circuitos,Interlagos,Brasil,4.309
carreras,2024-11-17,4,4
carreras,2024-09-22,5,5
carreras,2024-11-10,6,6
resultados,2,3,1
resultados,2,2,2
resultados,2,4,3
resultados,3,5,1
resultados,3,6,2
resultados,3,1,3
resultados,4,4,1
resultados,4,2,2
resultados,4,5,3
resultados,5,6,1
resultados,5,3,2
resultados,5,4,3
resultados,6,2,1
resultados,6,1,2
resultados,6,5,3
